case_id,text,dissatisfaction,policy_demand,coproduction_request
1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理。,0.5895,0.2940,0.0000
2,这个政策解释不清楚，居民不知道应该如何申请。,0.0000,0.7741,0.0000
3,我们愿意配合街道办开展社区宣传活动，也希望政府提供材料。,0.0000,0.0000,0.7432
4,工作人员回复很耐心，明确说明了办理步骤和截止日期。,0.0000,0.3359,0.0000
5,投诉很多次都没有结果，热线只是让我们继续等待。,0.8404,0.0000,0.0000
6,希望调整停车收费政策，给老旧小区居民一个过渡方案。,0.0000,0.7617,0.0000
7,我不反对新规，但是申请入口和材料要求完全看不懂。,0.3600,0.3591,0.0000
8,社区志愿者可以和居委会一起组织垃圾分类培训。,0.0000,0.0000,0.7730
9,政府回复只说按规定办理，没有说明下一步找谁处理。,0.0000,0.6096,0.0000
10,感谢街道及时回应，已经安排人员现场查看并告知处理时间。,0.0000,0.3326,0.0000
11,居民对噪音问题非常不满，希望执法部门加强夜间巡查。,0.3012,0.6008,0.0000
12,我们愿意参加协商会，共同制定更合理的公共空间管理办法。,0.0000,0.0000,0.8111
